"English","Georgian","Status","CandidateCount"
"Isani","","ambiguous","2"
"Ivertubani","ივერთუბანი","verified","1"
"Javakhishvili District","ჯავახიშვილი","verified","1"
"Javis Municipality","","unmatched","0"
"Kakhaberi District","კახაბერი","verified","1"
"Kareli Municipality","System.Collections.Hashtable","verified","1"
"Kaspi Municipality","System.Collections.Hashtable","verified","1"
"Kazbegi Municipality","ყაზბეგის მუნიციპალიტეტი","verified","1"
"Keda Municipality","System.Collections.Hashtable","verified","1"
"Khashuri Municipality","System.Collections.Hashtable","verified","1"
"Khelvachauri Municipality","System.Collections.Hashtable","verified","1"
"Khimshiashvili District","ხიმშიაშვილი","verified","1"
"Khobi Municipality","System.Collections.Hashtable","verified","1"
"Khoni Municipality","System.Collections.Hashtable","verified","1"
"Khulo Municipality","System.Collections.Hashtable","verified","1"
"Kiketi","კიკეთი","verified","1"
"Kobuleti Municipality","System.Collections.Hashtable","verified","1"
"Kojori","კოჯორი","verified","1"
"Koniaki village","","unmatched","0"
"Kopitnari","კოპიტნარი","verified","1"
"Koshigora","ქოშიგორა","verified","1"
"Kronika","ქრონიკა","verified","1"
"Kukia","კუკია","verified","1"
"Kutaisi","ქუთაისი","verified","1"
"Kvareli Municipality","System.Collections.Hashtable","verified","1"
"Kveseti","კვესეთი","verified","1"
"Lagodekhi Municipality","System.Collections.Hashtable","verified","1"
"Lanchkhuti Municipality","System.Collections.Hashtable","verified","1"
"Lentekhi Municipality","System.Collections.Hashtable","verified","1"
"Lilo","ლილო","verified","1"
"Lisi Lake","","unmatched","0"
"Lotkini","ლოტკინი","verified","1"
"Makhinjauri","მახინჯაური","verified","1"
"Marneuli Municipality","System.Collections.Hashtable","verified","1"
"Martvili Municipality","System.Collections.Hashtable","verified","1"
"Mcxeta","","unmatched","0"
"Mefesutubani","","unmatched","0"
"Mesame masivi","მესამე მასივი","verified","1"
"Mestia Municipality","System.Collections.Hashtable","verified","1"
"Mtatsminda","","ambiguous","2"
"Mtskheti Municipality","","unmatched","0"
"Mtsvanekvavila","მწვანეყვავილა","verified","1"
"Nadzaladevi","","ambiguous","2"
"Napetvrebi","ნაფეტვრები","verified","1"
"Nasaguri","ნასაგური","verified","1"
"Navtlugi","","unmatched","0"
"New Rustavi","","unmatched","0"
"Nikea Settlement","ნიკეა","verified","1"
"Ninotsminda","","ambiguous","2"
"Ninotsminda Municipality","System.Collections.Hashtable","verified","1"
"Nutsubidze plateau","","unmatched","0"
"Okrokana","ოქროყანა","verified","1"
"Old Batumi District","ძველი ბათუმი","verified","1"
"Old Rustavi","","unmatched","0"
"Oni Municipality","System.Collections.Hashtable","verified","1"
"Orkhevi","ორხევი","verified","1"
"Ortachala","ორთაჭალა","verified","1"
"Ozurgeti Municipality","System.Collections.Hashtable","verified","1"
"Pivzaod district","","unmatched","0"
"Ponichala","ფონიჭალა","verified","1"
"Poti","ფოთი","verified","1"
"Rionhesi Settlement","რიონჰესი","verified","1"
"Rustaveli District","რუსთაველი","verified","1"
"Rustavi","რუსთავი","verified","1"
"Saburtalo","","ambiguous","2"
"Sachkhere Municipality","System.Collections.Hashtable","verified","1"
"Safichkhia","","unmatched","0"
"Sagarejo Municipality","System.Collections.Hashtable","verified","1"
"Saghoria","","unmatched","0"
"Samgori","","ambiguous","2"
"Samtredia Municipality","System.Collections.Hashtable","verified","1"
"Sanzona","სანზონა","verified","1"
"Senaki Municipality","System.Collections.Hashtable","verified","1"
"Shindisi","შინდისი","verified","1"
"Shuakhevi Municipality","System.Collections.Hashtable","verified","1"
"Sighnaghi Municipality","სიღნაღი","verified","1"
"Sololaki","სოლოლაკი","verified","1"
"Suburbs Of Tbilisi","","unmatched","0"
"Svanetis ubani","","unmatched","0"
"Tabakhmela","ტაბახმელა","verified","1"
"Tamar Settlement","","unmatched","0"
"Tbilisi","თბილისი","verified","1"
"Tbilisi sea","","unmatched","0"
"Tchkondideli Settlement","","unmatched","0"
"Telavi","","ambiguous","2"
"Telavi Municipality","System.Collections.Hashtable","verified","1"
"Telovani","თელოვანი","verified","1"
"Temqa","","unmatched","0"
"Terjola Municipality","System.Collections.Hashtable","verified","1"
"Tetri Tskaro Municipality","","unmatched","0"
"Tianeti Municipality","System.Collections.Hashtable","verified","1"
"Tkhinvala","თხინვალა","verified","1"
"Tkibuli Municipality","ტყიბული","verified","1"
"Tsageri Municipality","System.Collections.Hashtable","verified","1"
"Tsalenjikha Municipality","System.Collections.Hashtable","verified","1"
"Tsalka Municipality","System.Collections.Hashtable","verified","1"
"Tsavkisi","წავკისი","verified","1"
"Tsinubani","წინუბანი","verified","1"
"Tskaltubo Municipality","System.Collections.Hashtable","verified","1"
"Tskneti","წყნეთი","verified","1"
"Turtle Lake","","unmatched","0"
"Ukimerioni","უქიმერიონი","verified","1"
"Vake","","ambiguous","2"
"Vakisubani","ვაკისუბნი","verified","1"
"Vani Municipality","System.Collections.Hashtable","verified","1"
"Varketili","ვარკეთილი","verified","1"
"Vashlijvari","","ambiguous","2"
"Vazisubani","ვაზისუბანი","verified","1"
"Vedzisi","ვეძისი","verified","1"
"Vera","ვერა","verified","1"
"Zahesi","ზაჰესი","verified","1"
"Zastava","ზასტავა","verified","1"
"Zestaponi Municipality","System.Collections.Hashtable","verified","1"
"Zugdidi","","ambiguous","2"
"Zugdidi Municipality","System.Collections.Hashtable","verified","1"
"Zurgovana","ზურგოვანა","verified","1"
